id,first name,last name,age,dob,grade,school name,address.city,address.state,address.pincode,faculty.first name,faculty.last name,faculty.subject,faculty.phone number,faculty.salary
204,Maura,Beattie,6,5/16/2011,A,Photojam,Miami Beach,Florida,33141,Barty,Kloss,English,305-409-1232,$1654.92
205,Keefe,Lefort,17,4/10/2013,D,Lajo,Aiken,South Carolina,29805,Alia,Wansbury,Art,803-655-9162,$2545.42
206,Nancee,Fibbings,7,12/26/2011,A,Quatz,Shreveport,Louisiana,71151,Loralee,Piercy,History,318-514-3686,$4814.97
207,Joyan,Shewring,12,2/6/2007,B,Demimbu,Glendale,Arizona,85311,Doug,Felipe,Science,602-591-4790,$3440.35
208,Kirstyn,Doogan,18,11/13/2017,E,Quinu,Santa Ana,California,92705,Benedetta,Chmiel,Math,310-494-2911,$1057.85
209,Kissie,Wogan,13,6/18/2017,A,Vimbo,Arlington,Virginia,22234,Anna-diane,Ridout,English,571-677-9168,$2486.81
210,Christal,Ert,6,2/25/2016,B,Quinu,Atlanta,Georgia,30316,Jolee,Swainsbury,History,770-447-9276,$3062.35
211,Geoff,Conyard,8,9/19/2016,E,Jazzy,Seattle,Washington,98109,Ailene,Bauer,English,425-778-4787,$1478.23
212,Devlen,Pool,12,10/20/2007,A,Yotz,Topeka,Kansas,66611,Tierney,Linley,Math,785-782-0505,$2609.13
213,Fidela,Poleye,8,3/23/2007,E,Youfeed,Washington,District of Columbia,20260,Carny,Spong,Art,202-624-3151,$4497.13
214,Anastasia,Nozzolii,13,2/6/2015,B,Tagtune,New York City,New York,10110,Terence,Aughtie,Science,718-763-5660,$4565.56
215,Iain,Twiddy,6,7/5/2016,F,Vitz,Macon,Georgia,31205,Rory,Gradley,English,478-849-6340,$3624.03
216,Parker,Heinle,9,5/12/2016,A,Thoughtstorm,Miami,Florida,33180,Cymbre,Feechan,Math,305-497-5580,$4740.63
217,Cad,Borrow,17,7/2/2016,B,Photobean,Orange,California,92867,Marshall,Medcalfe,English,714-625-9901,$2593.05
218,Jocelyne,Balf,10,5/1/2006,A,Topicblab,Punta Gorda,Florida,33982,Laetitia,Finicj,Science,941-124-5612,$1825.52
219,Marta,Burlay,9,2/27/2009,C,Geba,Washington,District of Columbia,20016,Nerty,Girardy,Science,202-315-2103,$1632.60
220,Averell,Ferrettino,15,10/6/2007,C,Fivechat,North Little Rock,Arkansas,72118,Elwin,Pittendreigh,Math,501-270-3770,$3519.78
221,Jacinda,Oddboy,7,1/7/2013,E,Yadel,Honolulu,Hawaii,96850,Schuyler,Clendennen,History,808-178-3950,$2111.20
222,Meggy,Oventon,12,8/11/2015,C,Zoomdog,Austin,Texas,78732,Moe,Grimestone,Math,512-518-2087,$4475.85
223,Ondrea,Lintott,15,2/16/2018,C,Yakitri,Louisville,Kentucky,40293,Kai,Grinyer,English,502-887-9787,$3917.90
224,Abeu,Gaspar,10,1/9/2007,B,Blogspan,Pittsburgh,Pennsylvania,15266,Samara,Comizzoli,Math,-666-6433,$1651.51
225,Graham,Bryson,11,4/27/2009,C,Jabberstorm,Greeley,Colorado,80638,Hatty,Kohlerman,Art,970-173-1041,$1555.14
226,Fidel,Aland,10,12/30/2011,E,Skilith,Kansas City,Missouri,64109,Audy,Blackboro,Art,816-655-0801,$4085.01
227,Obed,Huzzey,18,7/27/2014,E,Eire,Tampa,Florida,33620,Fee,Kirk,English,813-980-8249,$3939.33
228,Felisha,Worms,8,5/19/2007,D,Gigashots,Amarillo,Texas,79159,Kathy,Fairebrother,Art,806-946-0700,$4359.86
229,Sully,Antonias,11,3/20/2010,B,Quaxo,Athens,Georgia,30610,Kimberli,Berling,Math,706-372-4813,$2522.35
230,Florian,Coweuppe,6,4/16/2008,F,Yacero,Boston,Massachusetts,2114,Calhoun,Tregenza,Art,781-586-9651,$1247.64
231,Wendeline,Chrisp,12,5/20/2012,E,Roomm,Lubbock,Texas,79405,Theobald,Ghent,Art,806-819-2239,$1030.69
232,Hastie,Gain,17,8/17/2006,A,Nlounge,Saint Louis,Missouri,63126,Gan,Kennington,Art,314-993-5432,$2895.45
233,Mariejeanne,Godbolt,6,7/28/2011,B,Voonte,Miami,Florida,33134,Lyndell,Folke,History,786-355-4971,$1595.90
234,Sven,Tidcomb,6,4/29/2006,C,Cogidoo,New Orleans,Louisiana,70129,Glenn,Nazer,Math,504-837-4191,$2365.27
235,Tam,Drains,6,6/11/2006,D,Skimia,Irving,Texas,75037,Bengt,Gittose,Math,214-402-0080,$3584.12
236,Inglebert,Dormon,15,3/16/2018,A,Blogpad,Saint Paul,Minnesota,55103,Liv,Fortman,English,612-508-7193,$2348.12
237,Theodore,Woodfield,7,5/24/2018,F,Kwinu,Bonita Springs,Florida,34135,Kris,Matveiko,History,941-874-4683,$2861.42
238,Caz,Alston,16,1/6/2013,A,Topicshots,Columbus,Georgia,31904,Sherrie,Hammett,English,706-217-0088,$1782.41
239,Kaycee,Detheridge,6,6/13/2006,E,LiveZ,Flint,Michigan,48555,Lodovico,Scotts,History,810-620-1837,$3588.23
240,Terrye,Cops,18,12/11/2013,C,Blogpad,Tuscaloosa,Alabama,35487,Ynes,O'Bradain,Science,205-747-6510,$4713.04
241,Kerwinn,Pacquet,15,11/15/2014,D,Yombu,Phoenix,Arizona,85045,Arlyne,Tollett,English,602-839-7006,$3870.41
242,Clare,Bettridge,15,1/7/2009,F,Shufflester,Atlanta,Georgia,31196,Modesta,Vedikhov,Math,404-250-5180,$3625.90
243,Basil,Bertl,8,10/15/2018,C,Photojam,Kent,Washington,98042,Dulcinea,Bilbrook,Science,206-458-3540,$1462.04
244,Gav,Snewin,7,9/11/2016,F,BlogXS,Charleston,West Virginia,25389,Marcelo,Roelofs,Math,304-705-6627,$4238.04
245,Blair,Bellchamber,15,4/18/2009,D,Topicshots,Orlando,Florida,32808,Franklyn,Dunley,Science,321-676-8244,$2910.66
246,Bradford,Shills,6,10/27/2008,C,Jabberstorm,Midland,Texas,79710,Antonin,Messitt,Art,432-584-8264,$3950.80
247,Minta,Ledgard,13,7/5/2011,A,Blogpad,San Jose,California,95108,Borden,Philler,History,408-376-3570,$4169.40
248,Adelaida,Igo,7,4/23/2014,E,Vinte,Washington,District of Columbia,20566,Alisha,Arkle,Math,202-117-3181,$4240.88
249,Shae,Stearndale,17,3/13/2018,A,Kaymbo,South Bend,Indiana,46699,Klemens,Dunston,Math,574-114-3925,$3649.03
250,Evey,Pleasance,17,2/7/2016,C,Zoomzone,Tulsa,Oklahoma,74133,Regen,Le Guin,History,918-285-5332,$4592.53
251,Ignaz,Shuttleworth,12,10/25/2016,D,Rhyloo,Oklahoma City,Oklahoma,73167,Lisha,Wilcott,History,405-150-7075,$2307.95
252,Russell,Cancelier,16,7/4/2012,F,Topiczoom,Colorado Springs,Colorado,80920,Lizabeth,Mompesson,Science,719-361-7469,$4656.00
253,Caitlin,Crowter,8,10/17/2017,F,Yakidoo,Los Angeles,California,90060,Alverta,Froment,English,323-243-3968,$4311.00
254,Brita,Beves,14,5/3/2018,B,Edgetag,Bradenton,Florida,34282,Betty,Jakoub,Math,941-492-2077,$3486.74
255,Jacob,Mityashin,15,3/15/2018,E,Yozio,San Angelo,Texas,76905,Mal,Stoves,Art,325-769-0696,$4807.81
256,Robinia,Leythley,17,2/27/2008,D,Feednation,Tampa,Florida,33680,Jaquelin,Wicher,Science,813-101-1193,$2354.65
257,Arabela,Samson,17,6/15/2016,D,Meemm,Modesto,California,95354,Murdoch,Squirrel,Math,559-333-6831,$1679.73
258,Nicolina,Wiggam,18,3/31/2015,A,Vipe,Bakersfield,California,93305,Gerti,Larwood,History,661-627-9501,$4090.35
259,Berri,Weavill,17,6/18/2012,C,Zoomcast,Houston,Texas,77045,Sandie,Merwede,Science,713-509-1808,$2292.28
260,Efrem,Walklate,15,8/5/2008,E,Feedfire,Jackson,Tennessee,38308,Karlie,Henze,Math,731-403-1466,$4050.54
261,Charline,Palfreman,16,3/18/2010,D,Demizz,Houston,Texas,77035,Robby,Grimsdyke,Math,713-685-8811,$2898.97
262,Fenelia,Brangan,15,9/20/2015,A,Aivee,Richmond,Virginia,23208,Angelica,Rajchert,Art,804-638-5979,$3380.35
263,Jessey,Wandless,17,7/18/2008,F,Yombu,Atlanta,Georgia,30392,Carroll,Guido,Math,404-743-2372,$3985.03
264,Luella,Wisniewski,15,3/27/2014,A,Rhyloo,Greensboro,North Carolina,27404,Rebeca,Dullingham,Art,336-762-6241,$1861.24
265,Iago,Budgett,10,10/24/2013,E,Divanoodle,Hollywood,Florida,33023,Kelly,Bertrand,Art,954-782-1130,$2657.21
266,Fabio,MacKeague,8,5/7/2006,E,Midel,San Antonio,Texas,78250,Alfi,Pepineaux,Art,210-387-6306,$3760.04
267,Adah,Robertsen,11,3/31/2018,D,Edgeify,Birmingham,Alabama,35225,Lyndsay,Coupe,Science,205-936-6386,$4123.74
268,Elmore,Darbey,16,8/28/2008,E,Photobug,Washington,District of Columbia,20073,Oralie,Haldon,Math,202-112-0434,$4957.51
269,Buffy,McHan,18,6/26/2017,C,Skipfire,Wilmington,North Carolina,28405,De witt,MacParlan,History,910-591-7813,$1257.93
270,Elsi,Chomicz,17,11/20/2014,A,Zoonder,Akron,Ohio,44393,Marj,Scanes,English,234-256-7302,$1240.93
271,Cinderella,Dougan,18,3/11/2018,E,Fiveclub,New York City,New York,10270,Neilla,Cristofori,Math,646-954-5131,$1345.11
272,Rebekah,Buzzing,7,7/20/2007,E,Myworks,Richmond,Virginia,23208,Glori,Wasielewicz,Art,804-316-3581,$2160.50
273,Alfy,Devigne,8,3/14/2015,A,Oozz,Jamaica,New York,11436,Gael,Van der Brug,Math,718-538-1740,$1213.31
274,Maurizio,Carnduff,11,3/1/2013,A,Jayo,Austin,Texas,78737,Arliene,Odgers,English,512-516-6751,$4504.38
275,Diane,Ord,11,4/11/2010,F,Ainyx,Grand Rapids,Michigan,49510,Sybilla,Naisbit,English,616-136-3484,$4483.16
276,Rudyard,Spikings,8,5/27/2013,E,Kwideo,San Rafael,California,94913,Eli,Gellan,English,415-413-7212,$2880.13
277,Caesar,Scampion,10,3/23/2014,D,Gigashots,San Mateo,California,94405,Randi,Rosengren,Math,805-544-8078,$3352.57
278,Fayina,Ailward,16,6/28/2011,F,Kazio,Tulsa,Oklahoma,74126,Mervin,Maffini,History,918-531-7131,$3170.38
279,Mufi,Bather,18,5/6/2017,A,Zooxo,Jacksonville,Florida,32204,Horst,Wass,History,904-776-9004,$2375.62
280,Domingo,Vondruska,15,7/5/2009,D,Realpoint,Omaha,Nebraska,68124,Chase,Dennert,Science,402-315-3188,$3105.99
281,Paten,Thebe,6,11/30/2011,F,Cogibox,Lees Summit,Missouri,64082,Minor,Pafford,History,816-195-7134,$4533.07
282,Lorene,Bugdall,15,3/19/2011,C,JumpXS,Bakersfield,California,93399,Alie,Tomsu,Art,661-877-0521,$3218.13
283,Roddie,Esilmon,8,5/6/2008,F,Mybuzz,Fort Wayne,Indiana,46857,Lanita,Cristea,Art,260-631-7715,$1278.88
284,Wyn,Brisseau,18,11/16/2016,C,Browseblab,Tucson,Arizona,85720,Giovanna,Simco,Science,520-674-0763,$4862.17
285,Pandora,Southey,16,1/26/2007,B,Abatz,Minneapolis,Minnesota,55470,Fancie,Thalmann,English,612-438-1710,$4792.76
286,Trefor,Monketon,11,2/4/2013,D,Rhybox,Fort Lauderdale,Florida,33310,Ambur,Avramovich,Math,754-751-6943,$4023.18
287,Delmar,Esposita,6,1/25/2006,C,Trilia,New York City,New York,10280,Hartley,Fox,Science,917-337-9753,$1266.47
288,Inglebert,Pfeifer,10,8/25/2012,E,Buzzbean,Atlanta,Georgia,30351,Kennie,Hewertson,English,404-888-3716,$2013.51
289,Sonny,Fotitt,13,8/29/2016,E,Kare,Memphis,Tennessee,38150,Liza,Mewis,Math,901-216-9177,$4593.57
290,Lodovico,Hardage,15,10/4/2008,D,Browsebug,Asheville,North Carolina,28815,Arch,Bruty,Math,828-175-3904,$1871.66
291,Alison,Nairns,9,6/16/2012,F,Aimbu,Huntsville,Texas,77343,Horst,Bellfield,Math,936-217-5699,$2152.38
292,Ferrel,Cookman,8,2/4/2011,F,Shufflebeat,Kansas City,Missouri,64130,Adelbert,Wayon,Science,816-207-1923,$1540.31
293,Lesya,MacGall,8,11/2/2018,C,Edgetag,Morgantown,West Virginia,26505,Mildred,McCree,Art,304-718-4270,$2505.57
294,Tracie,Ibarra,16,1/14/2018,B,Tagchat,Garden Grove,California,92645,Shayne,Waind,History,714-459-6674,$4850.05
295,Louie,Sarsons,18,3/3/2015,A,Divape,Dallas,Texas,75210,Correna,Clarey,Art,469-696-2062,$1100.48
296,Jaime,Weagener,9,12/5/2011,D,Bluezoom,Fort Lauderdale,Florida,33305,Conant,Kobpa,English,954-489-6514,$4915.10
297,Reggie,Drioli,15,9/9/2010,F,Skilith,Hartford,Connecticut,6105,Shelli,Damp,English,203-744-6207,$3509.70
298,Laney,Kegan,13,4/5/2013,F,Oodoo,Tacoma,Washington,98447,Rubia,Scotsbrook,English,253-672-0047,$3336.12
299,Zara,Jarrett,15,2/6/2013,E,Flipstorm,Los Angeles,California,90094,Jourdan,MacTimpany,English,323-384-0521,$4235.09
300,Juieta,De Malchar,13,7/29/2006,B,Voonder,Fort Collins,Colorado,80525,Midge,Hardes,History,970-242-1669,$1989.81
301,Shana,Hollyman,17,1/19/2006,E,Twitterbeat,Akron,Ohio,44310,Salomi,Douche,English,330-828-7369,$3921.40
302,Valli,Baldacchi,13,3/8/2012,A,Rhybox,Atlanta,Georgia,31106,Ardis,Cecere,Art,404-710-1705,$2181.66
303,Jehu,Fortie,11,1/4/2017,C,Linkbuzz,Cleveland,Ohio,44130,Tallou,O'Sharry,Science,216-339-1551,$3086.55
304,Windy,Poytheras,9,2/8/2010,E,Quimba,Denver,Colorado,80262,Egon,Bradlaugh,History,303-352-5423,$2119.01
305,Barb,Garnsey,6,9/13/2013,C,Wikido,Tacoma,Washington,98442,Christian,Grishin,Science,253-494-2257,$4107.31
306,Mathias,Roubottom,9,10/1/2007,D,Oozz,Austin,Texas,78754,Penny,Giorgeschi,History,512-392-6264,$4618.27
307,Jennica,Blundin,18,2/19/2008,D,Linklinks,Tucson,Arizona,85715,Mariel,Snell,Math,520-998-3027,$4307.40
308,Karlotte,Altham,13,6/1/2017,A,Skyba,Birmingham,Alabama,35225,Ruggiero,Andreotti,Math,205-807-9666,$1148.65
309,Leonerd,Charer,14,2/6/2015,E,Teklist,Springfield,Massachusetts,1114,Engelbert,Gye,Math,413-914-4309,$4031.15
310,Merrill,Demangel,6,1/8/2007,C,Meeveo,Saint Paul,Minnesota,55188,Efrem,Tolossi,Art,651-973-7982,$4483.25
311,Fabio,Jenik,8,12/25/2013,A,Vipe,Jackson,Mississippi,39204,Keeley,Eliasen,History,601-416-8804,$1157.64
312,Dionisio,Bockman,13,11/2/2008,B,Kazio,Fresno,California,93786,Lorrie,Rust,English,559-708-4725,$1137.50
313,Analiese,Pucknell,18,5/14/2008,D,Centidel,Lakeland,Florida,33811,Melita,Deneve,English,863-801-8052,$1027.02
314,Tiffy,Goodram,11,3/13/2011,B,Topicblab,Buffalo,New York,14269,Saloma,Hartness,Math,716-832-8086,$2934.33
315,Ernie,Guirau,7,7/28/2009,E,Snaptags,Jersey City,New Jersey,7310,Adan,Canadine,History,973-788-4405,$2182.05
316,Cherish,Copyn,17,6/7/2009,D,Voonyx,Tucson,Arizona,85715,Lacey,Peasey,Science,520-727-2950,$1988.30
317,Rochelle,Rendell,17,1/6/2014,F,Flipopia,Wilmington,Delaware,19897,Woodman,Crowhurst,Art,302-931-9938,$1883.32
318,Joni,Stimson,12,12/15/2014,E,Jayo,New York City,New York,10175,Barnie,Butterly,Science,646-454-7156,$3105.55
319,Gardener,Dilley,18,2/26/2011,C,Dabshots,Houston,Texas,77234,Lilian,Axelbee,Science,713-853-1835,$3718.11
320,Carol,Womersley,13,11/12/2015,C,Centidel,Trenton,New Jersey,8650,Marie-jeanne,Raithby,English,609-582-6511,$2597.10
321,Halimeda,Baudasso,16,11/20/2010,A,Fatz,San Jose,California,95194,Jock,Vickery,English,408-303-4581,$2048.71
322,Mose,Sansun,12,1/3/2011,A,Wikibox,Homestead,Florida,33034,Mervin,Blumsom,History,305-514-7725,$3350.05
323,Cheslie,Snozzwell,11,6/24/2015,E,Edgeify,Louisville,Kentucky,40287,Pansie,Rosier,Math,502-227-2450,$3620.50
324,Sigfrid,Clowley,18,2/2/2011,A,Livetube,Tacoma,Washington,98405,Giorgia,Eskrick,English,253-519-6921,$2388.94
325,Iver,Klulicek,12,10/27/2014,D,Jayo,Greensboro,North Carolina,27404,Kaleb,Finders,Math,336-188-6211,$4858.15
326,Tedi,Tuplin,7,8/31/2006,F,Trupe,Washington,District of Columbia,20036,Kellen,Gullivent,English,202-595-4178,$2636.70
327,Martica,Keating,10,5/6/2012,D,Zoomlounge,Los Angeles,California,90087,Aviva,Luddy,Science,213-597-1378,$1913.42
328,Farr,Molson,10,11/18/2016,D,Thoughtsphere,Pittsburgh,Pennsylvania,15210,Leonard,Cooney,Math,724-577-3541,$1609.57
329,Celisse,Spraggon,6,2/12/2009,E,Jabberbean,Lakeland,Florida,33805,Tessa,Oldknowe,Science,863-449-6428,$3843.66
330,Jo,Casey,8,11/27/2014,E,Vipe,Louisville,Kentucky,40220,Bryna,Brandacci,Art,502-752-4259,$1608.31
331,Garrek,Danskine,15,3/27/2014,C,Voomm,Charleston,West Virginia,25331,Auria,Brittoner,Art,304-863-5388,$3400.92
332,Nehemiah,Ronchetti,6,6/3/2009,F,Nlounge,Woburn,Massachusetts,1813,Tynan,Glenwright,Math,339-504-5094,$1940.26
333,Boyd,Gladdor,18,6/3/2016,A,Skyba,Bradenton,Florida,34282,Ignaz,Mellmer,Math,941-926-6157,$3308.15
334,Chrotoem,Yankeev,8,8/14/2006,A,Riffwire,New York City,New York,10099,Linzy,Basini-Gazzi,Science,646-371-3974,$1248.17
335,Lek,Dunning,14,5/9/2007,F,Feedmix,Miami,Florida,33190,Erena,Wavell,English,786-642-0671,$1637.12
336,Marsh,Overbury,12,1/3/2008,C,Quaxo,Kansas City,Missouri,64125,Kirsteni,Preskett,Science,816-279-7710,$1345.75
337,Yanaton,Andrusyak,11,3/23/2018,A,Aimbu,Las Vegas,Nevada,89105,Jeni,Maybury,Math,702-192-0038,$1438.93
338,Wittie,Weben,9,2/10/2013,D,Topicshots,El Paso,Texas,88514,Lucina,Richten,History,915-285-8283,$4340.64
339,Roderick,Kielt,8,2/23/2006,F,Kare,Juneau,Alaska,99812,Sheba,Tesoe,Art,907-491-9088,$4235.34
340,Monica,Wallis,18,2/26/2015,C,Fiveclub,Jacksonville,Florida,32255,Inga,Carlyon,Art,904-630-8880,$3336.86
341,Frannie,Quilligan,11,10/21/2016,E,Tambee,Maple Plain,Minnesota,55572,Rosalind,Ogley,Art,763-142-0637,$2940.79
342,Margalo,Swede,6,12/7/2013,E,Trudoo,Atlanta,Georgia,30323,Betteanne,Nand,Art,770-822-4026,$4568.50
343,Tamara,Walthall,15,10/12/2014,D,Katz,Houston,Texas,77030,Malinda,Giacomuzzo,History,832-927-9269,$3371.03
344,Penelope,Wadge,12,9/24/2016,E,Lazz,Augusta,Georgia,30911,Neila,Bannard,Art,706-151-5256,$4927.72
345,Phyllida,Cregg,12,9/16/2011,A,Talane,Farmington,Michigan,48335,Banky,Voak,English,248-556-1901,$4692.19
346,Fraze,Michelle,7,1/29/2014,B,Skiba,Washington,District of Columbia,20010,Odette,Bramwell,History,202-116-6411,$2982.70
347,Decca,Hayle,11,12/11/2011,B,Bubblemix,Los Angeles,California,90025,Dinny,Perrin,Science,213-724-6221,$4442.13
348,Florenza,Bampforth,18,7/9/2018,F,Zoombeat,Riverside,California,92519,Sampson,Gonnelly,Science,951-764-7134,$1605.52
349,Rasia,Pellant,11,8/9/2012,A,Devpoint,Panama City,Florida,32412,Lorinda,Masic,Science,850-246-8914,$4731.55
350,Janet,Robinette,14,3/12/2015,E,Aimbu,Washington,District of Columbia,20220,Modestine,Josefsohn,English,202-324-5603,$4150.49
351,Tobias,Caroli,9,11/5/2010,C,Centidel,Washington,District of Columbia,20057,Erinn,Reeveley,English,202-467-1429,$1628.70
352,Charla,Vamplers,6,12/27/2015,B,Skyndu,Odessa,Texas,79769,Ivar,Marciskewski,Math,432-124-7529,$3784.30
353,Randie,Mallabar,17,5/28/2011,B,Digitube,Milwaukee,Wisconsin,53205,Laurette,Labes,Math,414-977-5178,$3074.71
354,Linoel,McDermid,11,12/20/2010,A,Zoomdog,Sioux City,Iowa,51110,Judye,Hailston,History,712-306-6290,$2775.08
355,Rube,Valett,6,5/1/2016,E,Zooxo,New York City,New York,10120,Nicolas,Wark,English,212-734-2597,$2268.25
356,Gerrie,Glozman,7,10/8/2009,E,Kazu,Washington,District of Columbia,20470,Malory,Le Houx,Art,202-524-8899,$3579.29
357,Margarita,Mion,12,2/9/2013,A,Zoomdog,Worcester,Massachusetts,1654,Denver,Messenbird,History,508-482-3665,$3314.27
358,Garek,Peter,10,1/10/2017,D,Cogibox,Orlando,Florida,32808,Reginauld,Stimpson,Science,407-927-0775,$4394.29
359,Eldin,Levecque,9,8/12/2012,D,Geba,Stamford,Connecticut,6905,Jeno,Livsey,History,203-824-9101,$4263.71
360,Evonne,Vennard,13,1/16/2008,A,Zoonoodle,Bozeman,Montana,59771,Cosimo,Flitcroft,Art,406-962-5262,$1515.60
361,Tucker,Garbutt,14,6/3/2010,F,Twimm,Louisville,Kentucky,40210,Kent,Harnor,English,502-449-4367,$4761.09
362,Lurlene,Waterworth,10,10/13/2008,F,Skipstorm,Duluth,Minnesota,55811,York,Torrejon,Math,218-896-8083,$1489.81
363,Theda,Thomesson,17,8/21/2017,F,Jamia,Fort Myers,Florida,33994,Ermengarde,Hastewell,English,239-530-8716,$2723.34
364,Royall,Obert,11,5/29/2007,D,Kwilith,Newark,New Jersey,7104,Deny,Hastelow,Science,973-265-3351,$4085.48
365,Shanna,Dearing,13,11/20/2018,A,Vipe,Grand Rapids,Michigan,49505,Bianca,Kidman,History,616-782-1635,$4117.18
366,Giulietta,Okenden,18,10/6/2017,B,Twitterworks,Amarillo,Texas,79159,Dwight,Stitwell,Art,806-543-3585,$3172.55
367,Ase,Thorbon,17,4/6/2016,D,Jabberbean,Denver,Colorado,80243,Bathsheba,Guittet,History,303-460-3566,$1878.59
368,Nicola,Lownds,13,5/4/2010,F,Edgetag,Stamford,Connecticut,6922,Ebenezer,Strangman,Math,203-431-5940,$2293.29
369,Dwayne,Kittle,18,8/24/2012,B,Shuffletag,Omaha,Nebraska,68134,Sylvester,Tuohy,Math,402-850-6012,$4318.01
370,Terrye,Stock,11,4/1/2014,B,DabZ,Springfield,Missouri,65810,Benjie,Inchboard,Science,417-866-4699,$3584.26
371,Phillipp,Houseago,18,1/27/2015,D,Browsebug,Portland,Oregon,97206,Thibaud,Jacqueme,Science,503-357-1818,$1436.91
372,Sibella,Dedenham,10,12/6/2018,E,Yadel,Chicago,Illinois,60686,Chev,Dudley,Math,312-164-2200,$1906.06
373,Bebe,Ebi,12,3/13/2017,E,Babblestorm,Lincoln,Nebraska,68517,Evelyn,Vallender,History,402-791-2874,$4569.02
374,Rachele,Lowdiane,11,2/3/2016,F,Rhybox,San Jose,California,95160,Johny,Mowsley,Science,408-762-8460,$1336.37
375,Ezekiel,Beckford,11,4/6/2018,D,Photobug,Indianapolis,Indiana,46207,Daffi,Baudet,English,317-492-4565,$1534.64
376,Cristal,Smead,7,1/24/2012,F,Twitterworks,Greeley,Colorado,80638,Barclay,Rake,English,970-631-0561,$1698.80
377,Gardy,Behneke,9,7/9/2018,B,Feedfish,Elmira,New York,14905,Clotilda,Cuff,Art,607-814-4698,$4850.45
378,Hortensia,Kinnock,11,8/19/2015,B,Tagchat,Lansing,Michigan,48912,Lem,Hinkens,Art,517-577-0769,$2999.49
379,John,Durbyn,9,4/2/2009,A,Thoughtbeat,Muskegon,Michigan,49444,Sharron,Tomasian,English,231-648-3486,$1794.55
380,Lilyan,Gillis,11,5/6/2017,F,Devpoint,Brooksville,Florida,34605,Rikki,Fraschini,Math,352-543-2351,$1829.92
381,Jenelle,Trayling,11,11/20/2015,B,Demivee,Milwaukee,Wisconsin,53225,Janella,Mahony,English,414-249-8477,$2444.17
382,Carolina,Cristofano,12,5/5/2012,D,Brainverse,Cincinnati,Ohio,45264,Wallie,Clayborn,Math,513-280-8126,$4887.74
383,Eran,Deport,8,12/7/2008,F,Blogpad,Long Beach,California,90840,Sissie,MacQuarrie,Art,562-365-0445,$3949.71
384,Noel,Elcy,16,7/9/2015,A,Quamba,Miami,Florida,33185,Abigale,Aleksich,History,305-706-1326,$1238.49
385,Peria,Elgar,9,8/11/2010,E,Meevee,Seattle,Washington,98104,Codie,Urling,Math,206-140-1131,$1741.56
386,Amie,Ossenna,11,9/17/2017,C,Blogspan,Anderson,Indiana,46015,Maridel,Kurten,Math,765-939-5772,$2367.18
387,Ingrim,Chard,17,11/17/2015,C,Skimia,Allentown,Pennsylvania,18105,Kaitlin,Cartmail,History,610-103-0725,$3409.30
388,Karla,Barnewille,18,8/24/2011,C,Realbridge,Miami,Florida,33190,Hyacinthie,Emeline,Art,786-391-7462,$4355.95
389,Franklin,Brigdale,9,10/25/2015,B,Jamia,Tucson,Arizona,85737,Codee,Broddle,History,520-328-7780,$3843.68
390,Lianne,Woodrooffe,16,7/10/2016,C,Fiveclub,San Francisco,California,94177,Lydie,Bourget,Science,415-899-9265,$3423.59
391,Cornelle,Breche,13,8/10/2007,A,Ailane,Dallas,Texas,75236,Gilbertina,Shalcras,English,214-558-0595,$2677.54
392,Aguste,Evetts,11,1/12/2008,A,Yacero,New Orleans,Louisiana,70165,Ulberto,McShee,Art,504-630-1729,$3501.04
393,Elvyn,Tysall,16,6/29/2008,F,Skidoo,Brooklyn,New York,11215,Haily,Edgley,Math,646-459-3685,$4016.34
394,Chiquita,Hartigan,13,12/4/2016,E,Roomm,Washington,District of Columbia,20380,Magda,Mansuer,Science,202-164-3826,$4809.95
395,Blanche,Witcherley,18,2/8/2011,A,Npath,Chattanooga,Tennessee,37416,Claribel,Castelyn,English,423-592-8518,$1299.57
396,Nellie,Lakes,10,11/9/2016,D,Wordify,Springfield,Virginia,22156,Mohandis,Gehrts,History,571-175-5489,$3801.40
397,Josh,O'Leary,7,11/25/2007,E,Buzzbean,Portland,Oregon,97232,Sunny,Hanfrey,Science,503-991-9260,$2820.01
398,Baxter,Benedicte,15,11/11/2018,F,Talane,El Paso,Texas,88563,Hobey,Haigh,Art,915-452-9747,$4902.79
399,Clare,Imore,10,7/6/2018,C,Oba,Arvada,Colorado,80005,Joane,Bonifazio,History,720-953-4343,$4300.33
400,Christiana,Yelyashev,9,6/28/2012,D,Feedbug,Saint Petersburg,Florida,33731,Bobbie,Pales,Math,727-648-9325,$4930.98
401,Diandra,Fearick,9,11/9/2008,B,Meeveo,Atlanta,Georgia,31196,Jessey,Fullbrook,English,404-313-3296,$4499.00
402,Anderea,Britnell,12,5/31/2008,D,Oyoyo,Stamford,Connecticut,6922,Giavani,Frenchum,History,203-959-1130,$1933.32
403,Clayson,M'Chirrie,8,11/25/2017,C,Flipstorm,Washington,District of Columbia,20231,Kristen,Joselson,History,202-621-6485,$4345.35
404,Buddy,Videneev,16,10/19/2008,B,Youtags,Pittsburgh,Pennsylvania,15220,Cecelia,Happel,Math,412-576-5364,$1054.82
405,Boonie,Terrazzo,9,3/20/2011,F,Gabcube,New York City,New York,10090,Toiboid,Myott,English,212-289-7211,$3428.16
406,Claudette,Aitkin,12,5/25/2007,B,Twimbo,Daytona Beach,Florida,32123,Zora,Riach,Science,386-261-1745,$3027.34
